MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	AgeInYears	BiologicalSex	UBERONBodyPartName	TermsofPosition	HealthStatus	DOIDCommonName	ComorbidityListDOIDIndex	SampleCollectionDateandTime	Country	HumanPopulationDensity	LatitudeandLongitude	DepthorAltitudeMeters	qiita_sample_name	UniqueSubjectID	LifeStage	UBERONOntologyIndex	DOIDOntologyIndex
MSV000093059	6PPD_1A.mzML	animal	biofluid	10090|Mus musculus	2023	urine, spot	methanol (100%)	not specified	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (polar-C18)			female	amniotic fluid	not applicable	not collected	not applicable	no disease reported	4/7/2023	not applicable	not applicable	not applicable	not applicable	not applicable				
MSV000093059	6PPD_1ur_1hr_post.mzML	animal	biofluid	10090|Mus musculus	2023	urine, spot	methanol (100%)	not specified	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (polar-C18)			female	urine	not applicable	not collected	not applicable	no disease reported	4/8/2023	not applicable	not applicable	not applicable	not applicable	not applicable	MSV000093059_NA	Later Adulthood (>65 yrs)	UBERON:0001088	not applicable
MSV000093059	6PPD_2_1hr_post.mzML	animal	biofluid	10090|Mus musculus	2023	urine, spot	methanol (100%)	not specified	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (polar-C18)			female	urine	not applicable	not collected	not applicable	no disease reported	4/9/2023	not applicable	not applicable	not applicable	not applicable	not applicable	MSV000093059_NA	Later Adulthood (>65 yrs)	UBERON:0001088	not applicable
MSV000093059	6PPD_2_1hr_pre.mzML	animal	biofluid	10090|Mus musculus	2023	urine, spot	methanol (100%)	not specified	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (polar-C18)			female	urine	not applicable	not collected	not applicable	no disease reported	4/10/2023	not applicable	not applicable	not applicable	not applicable	not applicable	MSV000093059_NA	Later Adulthood (>65 yrs)	UBERON:0001088	not applicable
MSV000093059	6PPD_2A2.mzML	animal	biofluid	10090|Mus musculus	2023	urine, spot	methanol (100%)	not specified	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (polar-C18)			female	amniotic fluid	not applicable	not collected	not applicable	no disease reported	4/11/2023	not applicable	not applicable	not applicable	not applicable	not applicable	MSV000093059_NA	Later Adulthood (>65 yrs)	UBERON:0000173	not applicable
MSV000093059	6PPD_6PPD_24h_1_4_day_5.mzML	animal	biofluid	10090|Mus musculus	2023	urine, spot	methanol (100%)	not specified	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (polar-C18)			female	urine	not applicable	not collected	not applicable	no disease reported	4/12/2023	not applicable	not applicable	not applicable	not applicable	not applicable	MSV000093059_NA	Later Adulthood (>65 yrs)	UBERON:0001088	not applicable
MSV000093059	6PPD_6PPD_5_1hr_post.mzML	animal	biofluid	10090|Mus musculus	2023	urine, spot	methanol (100%)	not specified	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (polar-C18)			female	urine	not applicable	not collected	not applicable	no disease reported	4/13/2023	not applicable	not applicable	not applicable	not applicable	not applicable	MSV000093059_NA	Later Adulthood (>65 yrs)	UBERON:0001088	not applicable
MSV000093059	urine_1.mzML	animal	biofluid	10090|Mus musculus	2023	urine, spot	methanol (100%)	not specified	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (polar-C18)			not collected	urine	not applicable	not collected	not applicable	no disease reported	4/14/2023	not applicable	not applicable	not applicable	not applicable	not applicable	MSV000093059_NA	Later Adulthood (>65 yrs)	UBERON:0001088	not applicable
MSV000093059	urine_10.mzML	animal	biofluid	10090|Mus musculus	2023	urine, spot	methanol (100%)	not specified	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (polar-C18)			not collected	urine	not applicable	not collected	not applicable	no disease reported	4/15/2023	not applicable	not applicable	not applicable	not applicable	not applicable	MSV000093059_NA	Later Adulthood (>65 yrs)	UBERON:0001088	not applicable
MSV000093059	urine_100.mzML	animal	biofluid	10090|Mus musculus	2023	urine, spot	methanol (100%)	not specified	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (polar-C18)			male	urine	not applicable	not collected	not applicable	no disease reported	4/16/2023	not applicable	not applicable	not applicable	not applicable	not applicable	MSV000093059_NA	Later Adulthood (>65 yrs)	UBERON:0001088	not applicable
