MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	AgeInYears	BiologicalSex	UBERONBodyPartName	TermsofPosition	HealthStatus	DOIDCommonName	ComorbidityListDOIDIndex	SampleCollectionDateandTime	Country	HumanPopulationDensity	LatitudeandLongitude	DepthorAltitudeMeters	qiita_sample_name	UniqueSubjectID	LifeStage	UBERONOntologyIndex	DOIDOntologyIndex	NCBIRank	NCBIDivision	ENVOEnvironmentBiome	ENVOEnvironmentMaterial	ENVOEnvironmentBiomeIndex	ENVOEnvironmentMaterialIndex
MSV000095657	Blank_1.mzML	blank_analysis	blank_extraction	10090|Mus musculus	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)																								
MSV000095657	Blank_2.mzML	blank_analysis	blank_extraction	10090|Mus musculus	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)																								
MSV000095657	Blank_3.mzML	blank_analysis	blank_extraction	10090|Mus musculus	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)																								
MSV000095657	Blank_4.mzML	blank_analysis	blank_extraction	10090|Mus musculus	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)																								
MSV000095657	Blank_5.mzML	blank_analysis	blank_extraction	10090|Mus musculus	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)																								
MSV000095657	Blank_6.mzML	blank_analysis	blank_extraction	10090|Mus musculus	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)																								
MSV000095657	cecum_1.mzML	animal	tissue	10090|Mus musculus	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)		0.15	female	caecum			primary bacterial infectious disease			United States of America														
MSV000095657	cecum_10.mzML	animal	tissue	10090|Mus musculus	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)		0.15	male	caecum			primary bacterial infectious disease			United States of America														
MSV000095657	cecum_11.mzML	animal	tissue	10090|Mus musculus	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)		0.15	male	caecum			primary bacterial infectious disease			United States of America														
MSV000095657	cecum_12.mzML	animal	tissue	10090|Mus musculus	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)		0.15	male	caecum			primary bacterial infectious disease			United States of America														
MSV000095657	cecum_13.mzML	animal	tissue	10090|Mus musculus	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)		0.15	male	caecum			primary bacterial infectious disease			United States of America														
MSV000095657	cecum_14.mzML	animal	tissue	10090|Mus musculus	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)		0.15	male	caecum			primary bacterial infectious disease			United States of America														
MSV000095657	cecum_15.mzML	animal	tissue	10090|Mus musculus	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)		0.15	female	caecum			primary bacterial infectious disease			United States of America														
MSV000095657	cecum_16.mzML	animal	tissue	10090|Mus musculus	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)		0.15	female	caecum			primary bacterial infectious disease			United States of America														
MSV000095657	cecum_17.mzML	animal	tissue	10090|Mus musculus	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)		0.15	female	caecum			primary bacterial infectious disease			United States of America														
MSV000095657	cecum_18.mzML	animal	tissue	10090|Mus musculus	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)		0.15	female	caecum			primary bacterial infectious disease			United States of America														
MSV000095657	cecum_19.mzML	animal	tissue	10090|Mus musculus	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)		0.15	female	caecum			primary bacterial infectious disease			United States of America														
MSV000095657	cecum_2.mzML	animal	tissue	10090|Mus musculus	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)		0.15	female	caecum			primary bacterial infectious disease			United States of America														
