MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	AgeInYears	BiologicalSex	UBERONBodyPartName	TermsofPosition	HealthStatus	DOIDCommonName	ComorbidityListDOIDIndex	SampleCollectionDateandTime	Country	HumanPopulationDensity	LatitudeandLongitude	DepthorAltitudeMeters	ATTRIBUTE_colonization_strain	ATTRIBUTE_colonization	ATTRIBUTE_strain	ATTRIBUTE_intervention	qiita_sample_name	UniqueSubjectID	LifeStage	UBERONOntologyIndex	DOIDOntologyIndex	NCBIRank	NCBIDivision	ENVOEnvironmentBiome	ENVOEnvironmentMaterial	ENVOEnvironmentBiomeIndex	ENVOEnvironmentMaterialIndex
MSV000096038	CC3xtg_1.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 8	1.25	female	caecum					2020-09-17T00:00:00Z	United States of America				GF B6	GF	B6	Sacrifice											
MSV000096038	CC3xtg_2.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 8	1.25	female	caecum					2020-09-17T00:00:00Z	United States of America				GF B6	GF	B6	Sacrifice											
MSV000096038	CC3xtg_3.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 8	1.25	female	caecum					2020-09-17T00:00:00Z	United States of America				GF B6	GF	B6	Sacrifice											
MSV000096038	CC3xtg_4.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 8	1.25	female	caecum					2020-09-17T00:00:00Z	United States of America				GF B6	GF	B6	Sacrifice											
MSV000096038	CC3xtg_5.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 8	1.25	female	caecum					2020-09-17T00:00:00Z	United States of America				GF B6	GF	B6	Sacrifice											
MSV000096038	CC3xtg_6.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 4	1.25	female	caecum					2020-09-17T00:00:00Z	United States of America				GF 3XTG	GF	3XTG	Sacrifice											
MSV000096038	CC3xtg_7.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 4	1.25	female	caecum					2020-09-17T00:00:00Z	United States of America				GF 3XTG	GF	3XTG	Sacrifice											
MSV000096038	CC3xtg_8.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 4	1.25	female	caecum					2020-09-17T00:00:00Z	United States of America				GF 3XTG	GF	3XTG	Sacrifice											
MSV000096038	CC3xtg_9.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 3	1.25	female	caecum					2020-09-18T00:00:00Z	United States of America				SPF 3XTG	SPF	3XTG	Sacrifice											
MSV000096038	CC3xtg_10.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 3	1.25	female	caecum					2020-09-18T00:00:00Z	United States of America				SPF 3XTG	SPF	3XTG	Sacrifice											
MSV000096038	CC3xtg_11.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 6	1.25	female	caecum					2020-09-18T00:00:00Z	United States of America				SPF B6	SPF	B6	Sacrifice											
MSV000096038	CC3xtg_12.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 6	1.25	female	caecum					2020-09-18T00:00:00Z	United States of America				SPF B6	SPF	B6	Sacrifice											
MSV000096038	CC3xtg_13.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 6	1.25	female	caecum					2020-09-18T00:00:00Z	United States of America				SPF B6	SPF	B6	Sacrifice											
MSV000096038	CC3xtg_14.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 6	1.25	female	caecum					2020-09-18T00:00:00Z	United States of America				SPF B6	SPF	B6	Sacrifice											
MSV000096038	CC3xtg_15.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 7	1.25	female	caecum					2020-09-18T00:00:00Z	United States of America				SPF B6	SPF	B6	Sacrifice											
MSV000096038	CC3xtg_16.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 7	1.25	female	caecum					2020-09-18T00:00:00Z	United States of America				SPF B6	SPF	B6	Sacrifice											
MSV000096038	CC3xtg_17.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 1	1.25	female	caecum					2020-09-18T00:00:00Z	United States of America				SPF 3XTG	SPF	3XTG	Sacrifice											
MSV000096038	CC3xtg_18.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 1	1.25	female	caecum					2020-09-18T00:00:00Z	United States of America				SPF 3XTG	SPF	3XTG	Sacrifice											
MSV000096038	CC3xtg_19.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 2	1.25	female	caecum					2020-09-18T00:00:00Z	United States of America				SPF 3XTG	SPF	3XTG	Sacrifice											
MSV000096038	CC3xtg_20.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 13	1.25	female	caecum					2020-10-26T00:00:00Z	United States of America				GF 3XTG	GF	3XTG	Sacrifice											
MSV000096038	CC3xtg_21.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 13	1.25	female	caecum					2020-10-26T00:00:00Z	United States of America				GF 3XTG	GF	3XTG	Sacrifice											
MSV000096038	CC3xtg_22.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 14	1.25	female	caecum					2020-10-26T00:00:00Z	United States of America				GF 3XTG	GF	3XTG	Sacrifice											
MSV000096038	CC3xtg_23.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 14	1.25	female	caecum					2020-10-26T00:00:00Z	United States of America				GF 3XTG	GF	3XTG	Sacrifice											
MSV000096038	CC3xtg_24.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 14	1.25	female	caecum					2020-10-26T00:00:00Z	United States of America				GF 3XTG	GF	3XTG	Sacrifice											
MSV000096038	CC3xtg_25.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 15	1.25	female	caecum					2020-10-26T00:00:00Z	United States of America				GF 3XTG	GF	3XTG	Sacrifice											
MSV000096038	CC3xtg_26.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 15	1.25	female	caecum					2020-10-26T00:00:00Z	United States of America				GF 3XTG	GF	3XTG	Sacrifice											
MSV000096038	CC3xtg_27.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 15	1.25	female	caecum					2020-10-26T00:00:00Z	United States of America				GF 3XTG	GF	3XTG	Sacrifice											
MSV000096038	CC3xtg_28.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 18	1.25	female	caecum					2020-10-28T00:00:00Z	United States of America				GF B6	GF	B6	Sacrifice											
MSV000096038	CC3xtg_29.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 18	1.25	female	caecum					2020-10-28T00:00:00Z	United States of America				GF B6	GF	B6	Sacrifice											
MSV000096038	CC3xtg_30.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 19	1.25	female	caecum					2020-10-28T00:00:00Z	United States of America				GF B6	GF	B6	Sacrifice											
MSV000096038	CC3xtg_31.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 19	1.25	female	caecum					2020-10-28T00:00:00Z	United States of America				GF B6	GF	B6	Sacrifice											
MSV000096038	CC3xtg_32.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 12	1.25	female	caecum					2020-10-28T00:00:00Z	United States of America				SPF 3XTG	SPF	3XTG	Sacrifice											
MSV000096038	CC3xtg_33.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 12	1.25	female	caecum					2020-10-28T00:00:00Z	United States of America				SPF 3XTG	SPF	3XTG	Sacrifice											
MSV000096038	CC3xtg_34.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 16	1.25	female	caecum					2020-10-28T00:00:00Z	United States of America				SPF B6	SPF	B6	Sacrifice											
MSV000096038	CC3xtg_35.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 16	1.25	female	caecum					2020-10-28T00:00:00Z	United States of America				SPF B6	SPF	B6	Sacrifice											
