MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	AgeInYears	BiologicalSex	UBERONBodyPartName	TermsofPosition	HealthStatus	DOIDCommonName	ComorbidityListDOIDIndex	SampleCollectionDateandTime	Country	HumanPopulationDensity	LatitudeandLongitude	DepthorAltitudeMeters	qiita_sample_name	UniqueSubjectID	LifeStage	UBERONOntologyIndex	DOIDOntologyIndex	ATTRIBUTE_strain	ATTRIBUTE_strain_name	ATTRIBUTE_country	ATTRIBUTE_substrate	ATTRIBUTE_media
MSV000088742	P610004-11A-001.mzML	culture_bacterial	culture_bacterial	36817|Streptomyces pseudogriseolus	2022	solid, solid phase extraction (C18)	acetonitrile (80%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	P610105-11L-001	not specified	not specified	not specified	not specified	not specified	not specified	not specified	02/16/2022 - 02/18/2022	United States of America	not specified	not specified	not specified	not specified	MSV000088742_P610105-11L-001	not specified	not applicable	not applicable	B-590	Streptomyces pseudogriseolus	not specified	not specified	ISP-2
MSV000088742	P610004-11A-001.mzML	culture_bacterial	culture_bacterial	1821|Nocardia sp.	2022	solid, solid phase extraction (C18)	acetonitrile (80%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	P610106-11N-001	not specified	not specified	not specified	not specified	not specified	not specified	not specified	02/16/2022 - 02/18/2022	United States of America	not specified	not specified	not specified	not specified	MSV000088742_P610106-11N-001	not specified	not applicable	not applicable	WC-3655	Nocardia sp.	not specified	not specified	ISP-2
MSV000088742	P610004-11A-001.mzML	culture_bacterial	culture_bacterial	58340|Streptomyces lavendulae subsp. Lavendulae	2022	solid, solid phase extraction (C18)	acetonitrile (80%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	P610107-11P-001	not specified	not specified	not specified	not specified	not specified	not specified	not specified	02/16/2022 - 02/18/2022	United States of America	not specified	not specified	not specified	not specified	MSV000088742_P610107-11P-001	not specified	not applicable	not applicable	S-1489	Streptomyces lavendulae subsp. Lavendulae	not specified	not specified	ISP-2
MSV000088742	P610004-11A-001.mzML	culture_bacterial	culture_bacterial	1938|Streptomyces viridochromogenes	2022	solid, solid phase extraction (C18)	acetonitrile (80%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	P610108-11R-001	not specified	not specified	not specified	not specified	not specified	not specified	not specified	02/16/2022 - 02/18/2022	United States of America	not specified	not specified	not specified	not specified	MSV000088742_P610108-11R-001	not specified	not applicable	not applicable	F-3154	Streptomyces viridochromogenes	not specified	not specified	ISP-2
MSV000088742	P610004-11A-001.mzML	culture_bacterial	culture_bacterial	146819|Streptomyces europaeiscabiei	2022	solid, solid phase extraction (C18)	acetonitrile (80%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	P610109-11T-001	not specified	not specified	not specified	not specified	not specified	not specified	not specified	02/16/2022 - 02/18/2022	United States of America	not specified	not specified	not specified	not specified	MSV000088742_P610109-11T-001	not specified	not applicable	not applicable	B-24083	Streptomyces europaeiscabiei	USA	potato	ISP-2
MSV000088742	P610004-11A-001.mzML	culture_bacterial	culture_bacterial	1931|Streptomyces sp.	2022	solid, solid phase extraction (C18)	acetonitrile (80%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	P610110-11V-001	not specified	not specified	not specified	not specified	not specified	not specified	not specified	02/16/2022 - 02/18/2022	United States of America	not specified	not specified	not specified	not specified	MSV000088742_P610110-11V-001	not specified	not applicable	not applicable	S-1309	Streptomyces sp.	not specified	not specified	ISP-2
MSV000088742	P610004-11A-001.mzML	culture_bacterial	culture_bacterial	1931|Streptomyces sp.	2022	solid, solid phase extraction (C18)	acetonitrile (80%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	P610111-11X-001	not specified	not specified	not specified	not specified	not specified	not specified	not specified	02/16/2022 - 02/18/2022	United States of America	not specified	not specified	not specified	not specified	MSV000088742_P610111-11X-001	not specified	not applicable	not applicable	S-578	Streptomyces sp.	USA	soil	ISP-2
MSV000088742	P610004-11A-001.mzML	culture_bacterial	culture_bacterial	not specified|Microbispora ubonratchathaniensis	2022	solid, solid phase extraction (C18)	acetonitrile (80%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	P610112-11Z-001	not specified	not specified	not specified	not specified	not specified	not specified	not specified	02/16/2022 - 02/18/2022	United States of America	not specified	not specified	not specified	not specified	MSV000088742_P610112-11Z-001	not specified	not applicable	not applicable	B-65340	Microbispora ubonratchathaniensis	not specified	not specified	ISP-2
MSV000088742	P610004-11A-001.mzML	culture_bacterial	culture_bacterial	1931|Streptomyces sp.	2022	solid, solid phase extraction (C18)	acetonitrile (80%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	P610113-11B-001	not specified	not specified	not specified	not specified	not specified	not specified	not specified	02/16/2022 - 02/18/2022	United States of America	not specified	not specified	not specified	not specified	MSV000088742_P610113-11B-001	not specified	not applicable	not applicable	F-3190	Streptomyces sp.	not specified	not specified	ISP-2
MSV000088742	P610004-11A-001.mzML	culture_bacterial	culture_bacterial	1931|Streptomyces sp.	2022	solid, solid phase extraction (C18)	acetonitrile (80%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	P610114-11D-001	not specified	not specified	not specified	not specified	not specified	not specified	not specified	02/16/2022 - 02/18/2022	United States of America	not specified	not specified	not specified	not specified	MSV000088742_P610114-11D-001	not specified	not applicable	not applicable	S-1254	Streptomyces sp.	not specified	not specified	ISP-2
