MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	AgeInYears	BiologicalSex	UBERONBodyPartName	TermsofPosition	HealthStatus	DOIDCommonName	ComorbidityListDOIDIndex	SampleCollectionDateandTime	Country	HumanPopulationDensity	LatitudeandLongitude	DepthorAltitudeMeters	qiita_sample_name	UniqueSubjectID	LifeStage	UBERONOntologyIndex	DOIDOntologyIndex	ATTRIBUTE_strain	ATTRIBUTE_strain_name	ATTRIBUTE_country	ATTRIBUTE_substrate	ATTRIBUTE_media
MSV000089090	P610200-11G-001.mzML	culture_bacterial	culture_bacterial	88075|Kitasatospora niigatensis	2022	solid, solid phase extraction (C18)	acetonitrile (80%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	P610200-11G-001	not specified	not specified	not specified	not specified	not specified	not specified	not specified	04/06/2022 - 04/07/2022	United States of America	not specified	not specified	not specified	not specified	MSV000089090_P610200-11G-001	not specified	not applicable	not applicable	16453	Kitasatospora niigatensis	not specified	not specified	ISP-2
MSV000089090	P610200-11G-002.mzML	culture_bacterial	culture_bacterial	88075|Kitasatospora niigatensis	2022	solid material, dried	methanol (100%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	P610200-11G-002	not specified	not specified	not specified	not specified	not specified	not specified	not specified	04/06/2022 - 04/07/2022	United States of America	not specified	not specified	not specified	not specified	MSV000089090_P610200-11G-002	not specified	not applicable	not applicable	16453	Kitasatospora niigatensis	not specified	not specified	ISP-2
MSV000089090	P610201-11J-001.mzML	culture_bacterial	culture_bacterial	66896|Streptacidiphilus griseoplanus	2022	solid, solid phase extraction (C18)	acetonitrile (80%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	P610201-11J-001	not specified	not specified	not specified	not specified	not specified	not specified	not specified	04/06/2022 - 04/07/2022	United States of America	not specified	not specified	not specified	not specified	MSV000089090_P610201-11J-001	not specified	not applicable	not applicable	12779	Streptacidiphilus griseoplanus	not specified	not specified	ISP-2
MSV000089090	P610201-11J-002.mzML	culture_bacterial	culture_bacterial	66896|Streptacidiphilus griseoplanus	2022	solid material, dried	methanol (100%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	P610201-11J-002	not specified	not specified	not specified	not specified	not specified	not specified	not specified	04/06/2022 - 04/07/2022	United States of America	not specified	not specified	not specified	not specified	MSV000089090_P610201-11J-002	not specified	not applicable	not applicable	12779	Streptacidiphilus griseoplanus	not specified	not specified	ISP-2
MSV000089090	P610202-11L-001.mzML	culture_bacterial	culture_bacterial	67287|Streptomyces cinnabarinus	2022	solid, solid phase extraction (C18)	acetonitrile (80%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	P610202-11L-001	not specified	not specified	not specified	not specified	not specified	not specified	not specified	04/06/2022 - 04/07/2022	United States of America	not specified	not specified	not specified	not specified	MSV000089090_P610202-11L-001	not specified	not applicable	not applicable	13028	Streptomyces cinnabarinus	not specified	not specified	ISP-2
MSV000089090	P610202-11L-002.mzML	culture_bacterial	culture_bacterial	67287|Streptomyces cinnabarinus	2022	solid material, dried	methanol (100%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	P610202-11L-002	not specified	not specified	not specified	not specified	not specified	not specified	not specified	04/06/2022 - 04/07/2022	United States of America	not specified	not specified	not specified	not specified	MSV000089090_P610202-11L-002	not specified	not applicable	not applicable	13028	Streptomyces cinnabarinus	not specified	not specified	ISP-2
MSV000089090	P610203-11N-001.mzML	culture_bacterial	culture_bacterial	42881|Streptomyces chromofuscus	2022	solid, solid phase extraction (C18)	acetonitrile (80%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	P610203-11N-001	not specified	not specified	not specified	not specified	not specified	not specified	not specified	04/06/2022 - 04/07/2022	United States of America	not specified	not specified	not specified	not specified	MSV000089090_P610203-11N-001	not specified	not applicable	not applicable	12851	Streptomyces chromofuscus	not specified	not specified	ISP-2
MSV000089090	P610203-11N-002.mzML	culture_bacterial	culture_bacterial	42881|Streptomyces chromofuscus	2022	solid material, dried	methanol (100%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	P610203-11N-002	not specified	not specified	not specified	not specified	not specified	not specified	not specified	04/06/2022 - 04/07/2022	United States of America	not specified	not specified	not specified	not specified	MSV000089090_P610203-11N-002	not specified	not applicable	not applicable	12851	Streptomyces chromofuscus	not specified	not specified	ISP-2
MSV000089090	P610204-11P-001.mzML	culture_bacterial	culture_bacterial	67330|Kitasatospora misakiensis	2022	solid, solid phase extraction (C18)	acetonitrile (80%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	P610204-11P-001	not specified	not specified	not specified	not specified	not specified	not specified	not specified	04/06/2022 - 04/07/2022	United States of America	not specified	not specified	not specified	not specified	MSV000089090_P610204-11P-001	not specified	not applicable	not applicable	12891	Kitasatospora misakiensis	not specified	not specified	ISP-2
MSV000089090	P610204-11P-002.mzML	culture_bacterial	culture_bacterial	67330|Kitasatospora misakiensis	2022	solid material, dried	methanol (100%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	P610204-11P-002	not specified	not specified	not specified	not specified	not specified	not specified	not specified	04/06/2022 - 04/07/2022	United States of America	not specified	not specified	not specified	not specified	MSV000089090_P610204-11P-002	not specified	not applicable	not applicable	12891	Kitasatospora misakiensis	not specified	not specified	ISP-2
